,Precio,Direccion,Barrio
0,USD 38.000,"Departamento en Venta en Barrio Pueyrredon, 1 Dormitorio,balcon, a Estrenar","General Pueyrredón, Córdoba"
1,USD 145.000,Casa en Greenville 2,"Greenville II, Córdoba"
2,USD 43.000,Corrientes 200 - CON Escritura,"Centro, Córdoba"
3,USD 490.000,"Departamento de Categoría a la Venta en Urca con Seguridad, Terrazas de Barranca","Córdoba, Córdoba"
4,USD 35.000,Agustin Garzon 3,"San Vicente, Córdoba"
5,USD 30.000,S/N 0,"16 de Noviembre, Córdoba"
6,USD 320.000,RAMON Y CAJAL 5800,"Argüello, Córdoba"
7,USD 198.000,Jose P Otero 1073,"URCA, Córdoba"
8,USD 205.000,Patagonia Village H - 23,"Valle Escondido , Córdoba"
9,USD 26.000,JUAN RODRIGUEZ 1320,"San Vicente, Córdoba"
10,USD 130.000,Islas del Atlántico sur 4267,"Granja de Funes, Córdoba"
11,USD 800.000,Venta Departamento - Penthouse - Av. Figueroa Alcorta 95v. Figueroa Alcorta 95,"Centro, Córdoba"
12,USD 145.000,Carlos Nicolle 100,"Villa Belgrano, Córdoba"
13,USD 110.000,Piotti 6539,"Argüello, Córdoba"
14,USD 550.000,Argañaraz y Murgia (P),"Jardín Espinosa, Córdoba"
15,USD 280.000,Dpto 3 Dormitorios en Mai Tei,"Barrio Privado Chateau Carreras, Córdoba"
16,USD 30.000,S/N 0,"16 de Noviembre, Córdoba"
17,USD 124.000,Calmayo 2000,"Jardín Espinosa, Córdoba"
18,USD 620.000,Lomas DE LA Carolina,"Lomas de la Carolina, Córdoba"
19,USD 165.000,Nores Martinez 2700,"Jardín, Córdoba"
20,USD 650.000,Las Delicias,"Las Delicias, Córdoba"
21,USD 800.000,Venta Departamento - Penthouse - Av. Figueroa Alcorta 95v. Figueroa Alcorta 95,"Centro, Córdoba"
22,USD 68.000,General paz 3400,"Alta Córdoba, Córdoba"
23,USD 498.000,Casa en Venta de 4 Dormitorios en Country del Jockey. Con Pileta. Fondo Golf. Oportunidad,"Jockey Club, Córdoba"
24,USD 123.859,,"Manantiales, Córdoba"
25,USD 98.000,Av. Sagrada Familia 451,"Alto Alberdi, Córdoba"
26,USD 35.000,Agustin Garzon 3,"San Vicente, Córdoba"
27,USD 150.000,Camino San Carlos al 6100,"Greenville II, Córdoba"
28,USD 120.000,Condor Alto Housing Privado - Villa Allende,"Córdoba, Córdoba"
29,USD 82.660,Casona de los Arcos 1,"Manantiales, Córdoba"
30,USD 155.000,Cap. Castagnari al 5700,"Tejas II, Córdoba"
31,USD 76.500,Felix Frias 80,"General Paz, Córdoba"
32,USD 75.650,sol de Mayo esq Luis Agote,"Los Naranjos, Córdoba"
33,USD 240.000,José Esteban Bustos 1500,"Cerro de las Rosas, Córdoba"
34,USD 185.000,Casa a Estrenar en La Calandria. Terreno 360m2,"La Calandria, Córdoba"
35,USD 88.000,Pampas al 7600,"Argüello, Córdoba"
36,USD 190.000,Cañuelas Chico,"Cañuelas Country Golf, Córdoba"
37,USD 51.000,Jujuy 2062,"Alta Córdoba, Córdoba"
38,USD 245.000,Botafogo 3860,"Jardín Espinosa, Córdoba"
39,USD 82.660,Casona de los Arcos 1,"Manantiales, Córdoba"
40,USD 249.000,Jose A. Cabrera 5600,"Córdoba, Córdoba"
41,USD 174.000,Manantiales I - La Serena,"Manantiales, Córdoba"
42,USD 420.000,Villa Belgrano,"Villa Belgrano, Córdoba"
43,USD 115.000,Sucre,"Cofico, Córdoba"
44,USD 490.000,Jose Roque Funes 1000,"URCA, Córdoba"
45,USD 185.000,GREENVILLE2,"Greenville II, Córdoba"
46,USD 175.000,Chacra del Sur,"Chacra del Sur, Córdoba"
47,USD 115.000,La Noria 1250,"Córdoba, Córdoba"
48,USD 110.000,Padre Luis Galeano 100 - Complejo Opera Luxury,"Cerro de las Rosas, Córdoba"
49,USD 39.000,Venta Depto de 1 Dormitorio Barrio Alberdi,"Alberdi, Córdoba"
50,USD 180.000,Jardines del Jockey,"Jardín Espinosa, Córdoba"
51,USD 240.000,Complejo Mediland Village,"URCA, Córdoba"
52,USD 57.000,24 de Septiembre 1500,"General Paz, Córdoba"
53,USD 123.859,,"Manantiales, Córdoba"
54,USD 105.000,Bv. General Ocampo 334,"General Paz, Córdoba"
55,USD 200.000,Poeta Lugones al 200,"Nueva Córdoba, Córdoba"
56,USD 121.000,Gervasio Mendez 2291,"Cerro de las Rosas, Córdoba"
57,USD 260.000,Jardin Espinosa - Argañaras y Murguia al 3600,"Jardín Espinosa, Córdoba"
58,USD 175.000,Chacra del Sur - Córdoba,"Córdoba, Córdoba"
59,USD 160.000,Bv. Illia 440,"Nueva Córdoba, Córdoba"
60,USD 115.000,Av Armada Argentina 5700,"San Ignacio Village, Córdoba"
61,USD 75.000,Obispo Salguero 670,"Nueva Córdoba, Córdoba"
62,USD 550.000,LA Cascada Country Golf - Fondo Golf,"La Cascada Country Golf, Córdoba"
63,Consultar precio,Jardín Espinosa,"Jardín Espinosa, Córdoba"
64,USD 153.000,Venta Duplex en Manantiales 3 Dormitorios Entrega + Financiacion,"Manantiales, Córdoba"
65,USD 375.000,Enrique Cavendish 6130,"Villa Belgrano, Córdoba"
66,USD 650.000,Las Delicias,"Las Delicias, Córdoba"
67,USD 28.000,Martín García 700,"San Martín, Córdoba"
68,USD 35.000,Cabana 3385,"San Pablo, Córdoba"
69,USD 550.000,Las Delicias 1,"Las Delicias, Córdoba"
70,USD 98.000,Av. Sagrada Familia 451,"Alto Alberdi, Córdoba"
71,USD 95.000,Jose Varela Berro al 4400,"Poeta Lugones, Córdoba"
72,USD 220.000,POTEL JUNOT 4500,"Granja de Funes, Córdoba"
73,USD 215.000,san antonio 1951,"Miradores de Manantiales, Córdoba"
74,USD 65.000,Guemes al 300,"General Paz, Córdoba"
75,USD 64.000,Duarte Quirós 2115,"Alto Alberdi, Córdoba"
76,USD 175.000,Green Ville 2 - Lote 7 Manzana 21,"Greenville II, Córdoba"
77,USD 45.000,"Torre H!! Bº Guemes, Exclusivo Dpto 1 Dorm!","Güemes, Córdoba"
78,USD 450.000,Guillermo Oswald 6100,"Argüello, Córdoba"
79,USD 235.000,San Cayetano 5900,"Córdoba, Córdoba"
80,USD 95.000,Nicolas Avellaneda 1301,"Cofico, Córdoba"
81,USD 160.000,Rogelio Martinez 1900,"Maipú, Córdoba"
82,USD 235.000,Mario Flores 4200,"Las Tejas del Sur, Córdoba"
83,USD 53.000,Jujuy 2064,"Alta Córdoba, Córdoba"
84,USD 495.000,Avenida República de China 2100,"Córdoba, Córdoba"
85,USD 80.000,Departamento Manantiales,"Córdoba, Córdoba"
86,USD 103.000,Lima al 1300,"General Paz, Córdoba"
87,USD 145.000,Jardines del Olmo !! Frente Espacio Verde 3 Dor,"Jardines del Olmo, Córdoba"
88,USD 25.000,"Departamento de 2 Dormitorio en B° Alta Córdoba, a Remodelar, con Balcón","Alta Córdoba, Córdoba"
89,USD 69.000,Bv Illia 300,"Nueva Córdoba, Córdoba"
90,USD 129.000,Solares DE Manantiales!!,"Terrazas de Manantiales, Córdoba"
91,USD 119.000,obispo trejo 1069,"Nueva Córdoba, Córdoba"
92,USD 550.000,Consultar dirección,"El Bosque, Córdoba"
93,USD 45.000,Duarte Quiros 2121,"Alberdi, Córdoba"
94,USD 97.000,Pasaje Antonio Serrano 3336,"Jardín, Córdoba"
95,USD 65.400,felix frias 61,"General Paz, Córdoba"
96,USD 42.700,Lunetto- Mejico 950,"General Pueyrredón, Córdoba"
97,USD 97.000,San Antonio 3500,"Manantiales, Córdoba"
98,USD 88.000,Venta Depto B General Paz- 3 Dormitorios- Remodelado,"General Paz, Córdoba"
99,USD 52.000,Atención! PB a Estrenar! Gran Patio!! Bº Cofico,"Cofico, Córdoba"
100,USD 420.000,o higgins 5400,"Country Fortin del Pozo, Córdoba"
101,USD 350.000,Wenseslau Paunero,"Rogelio Martínez, Córdoba"
102,USD 75.000,Obispo Salguero 670,"Nueva Córdoba, Córdoba"
103,USD 140.000,Quintas de Los Cremader - Villa Warcalde,"Villa Warcalde, Córdoba"
104,USD 580.000,Av. Valparaíso 4339,"Córdoba, Córdoba"
105,USD 165.000,Poeta Lugones 344,"Nueva Córdoba, Córdoba"
106,$ 58.949.443,24 de Septiembre 1170- Green Life II,"General Paz, Córdoba"
107,USD 529.000,Hipolito Yrigoyen 592,"Nueva Córdoba, Córdoba"
108,USD 130.000,Av. Armada Argentina 5700,"San Ignacio Village, Córdoba"
109,Consultar precio,Sol De Mayo 1400,"San Francisco, Córdoba"
110,USD 180.000,Av Republica de China al 700,"Patagonia Village, Valle Escondido "
111,USD 57.500,luis agote esquina sol de mayo,"San Francisco, Córdoba"
112,USD 49.500,Av Velez Sasrsfield al 1000,"Nueva Córdoba, Córdoba"
113,USD 55.000,27 DE Abril 700 - CON Escritura -,"Centro, Córdoba"
114,USD 48.000,Jujuy 2064,"Alta Córdoba, Córdoba"
115,USD 35.000,Agustin Garzon 1662,"San Vicente, Córdoba"
116,USD 53.000,27 DE Abril 1900 - Precio Destacado -,"Alberdi, Córdoba"
117,USD 380.000,Vélez Sarsfield 3000,"Comercial, Córdoba"
118,USD 650.000,Las Delicias,"Las Delicias, Córdoba"
119,Consultar precio,Las Delicias 3,"Las Delicias, Córdoba"
120,USD 72.000,ituzaingo esquina bv illia ,"Nueva Córdoba, Córdoba"
121,USD 490.000,Molino de Torres 5301,"El Bosque, Córdoba"
122,Consultar precio,El Lote más Buscado con Fondo al Golf y Vista Directa a la Laguna en Lomas de la Carolina,"Lomas de la Carolina, Córdoba"
123,USD 185.000,Publica s/n,"Villa Cabrera, Córdoba"
124,USD 135.000,9 DE Julio Esq. Tucuman- Barrio: Centro,"Centro, Córdoba"
125,USD 59.500,obispo trejo 683,"Nueva Córdoba, Córdoba"
126,USD 56.500,"Departamento en Venta en Av. Pueyrredon Nva Cba,1 Dorm con Balcón, Desocupado. NO ES Apto Crédito","Nueva Córdoba, Córdoba"
127,USD 115.000,Pasaje Santo Tomas al 300,"Centro, Córdoba"
128,USD 63.000,lima 1367,"General Paz, Córdoba"
129,Consultar precio,Tycho Brahe 4979,"Villa Belgrano, Córdoba"
130,USD 62.000,transito caceres 430,"Nueva Córdoba, Córdoba"
131,USD 40.000,Jujuy 1487,"Cofico, Córdoba"
132,USD 119.000,Santa fe al 615,"Alberdi, Córdoba"
133,USD 72.000,Alto Alberdi! Semipiso 2 Dorm CON Cochera!!,"Alto Alberdi, Córdoba"
134,USD 120.000,AV VALPARAISO 7500,"Distrito Sur, Córdoba"
135,USD 98.000,Hipolito Yrigoyen al 400,"Nueva Córdoba, Córdoba"
136,USD 510.000,Av. Ejército Argentino al 1000,"Las Delicias, Córdoba"
137,USD 49.500,Duarte Quiros 987,"Centro, Córdoba"
138,USD 119.000,Departamento 2 Dormitorios en Bº General Paz Se Vende,"General Paz, Córdoba"
139,USD 123.456,"Casa EN Venta 3 Dormitorios a Estrenar en Distrito Sur, Barrio con Vigilancia 24hrs","La Calandria, Córdoba"
140,USD 78.000,Parana al 510,"Nueva Córdoba, Córdoba"
141,USD 65.000,"Bº Gral Paz, A Estrenar 1 1/2 Dorm","General Paz, Córdoba"
142,USD 118.000,Costas de Manantiales,"Costas de Manantiales, Córdoba"
143,USD 660.000,Bv. Chacabuco y Derqui,"Nueva Córdoba, Córdoba"
144,USD 185.000,"Dúplex en Venta en Cañuelas Chico. Moderno, Luminoso, 3 Dormitorios","Cañuelas Country Golf, Córdoba"
145,USD 97.500,Luis Agote 1900,"San Francisco, Córdoba"
146,USD 265.000,Pérez del Viso 4265,"Parque Corema, Córdoba"
147,USD 152.000,"Departamento en Venta en General Paz Terra V- Apto Crédito Bancor -2 Dormitorios, muy Luminoso","General Paz, Córdoba"
148,USD 59.500,Achaval Rodriguez al 215,"Nueva Córdoba, Córdoba"
149,USD 124.000,Calmayo 2000,"Jardín Espinosa, Córdoba"
150,USD 165.000,Celso Barrios 3700,"Claros Village, Córdoba"
151,USD 75.000,"Duplex en Venta en Prados de Manantiales- Planta Baja, Oportunidad!","Prados de Manantiales, Córdoba"
152,$ 18.201.360,José Benito Cottolengo 600,"Valle Cercano, Córdoba"
153,USD 60.000,Brava 2- Bolivar 475,"Güemes, Córdoba"
154,USD 40.000,Laprida al 1000,"Observatorio, Córdoba"
155,USD 145.000,Hugo Miatello 4500,"Poeta Lugones, Córdoba"
156,USD 165.000,Nores Martinez 2700,"Jardín, Córdoba"
157,USD 135.000,Lomas de Manantiales,"Manantiales, Córdoba"
158,USD 230.000,25 de Mayo 970,"General Paz, Córdoba"
159,USD 88.000,Juan Manuel estrada 23 ,"Nueva Córdoba, Córdoba"
160,USD 83.500,bedoya 51,"Cofico, Córdoba"
161,USD 185.000,Av. República de China,"Valle Escondido , Córdoba"
162,USD 49.000,Avenida Marcelo T. de Alvear 1000,"Güemes, Córdoba"
163,USD 470.000,Fortin Del Pozo Lote / N° 0,"Country Fortin del Pozo, Córdoba"
164,USD 450.000,mauricio revigliono 0,"Fincas del Sur II, Córdoba"
165,USD 90.000,Almirante Brown al 1600,"Los Naranjos, Córdoba"
166,USD 95.000,Cabo Segundo Ahumada al 400,"Nuevo URCA, Córdoba"
167,USD 98.000,Duplex 3dor 140mts Cub. Cerro de las Rosas,"Cerro de las Rosas, Córdoba"
168,USD 115.000,Bardas Dos,"Córdoba, Córdoba"
169,USD 140.000,Av. Cruz Roja 100,"Casonas de Manantiales, Córdoba"
170,USD 108.000,Obispo Salguero 738,"Nueva Córdoba, Córdoba"
171,USD 320.000,Casa a la Venta en San Salvador con 3 Terrenos!,"San Salvador, Córdoba"
172,USD 69.900,Bv San Juan 600,"Nueva Córdoba, Córdoba"
173,USD 800.000,"Casa a la Venta en Lomas de La Carolina de 7 Años de Antigüedad, Minimalista, Cálida y Luminosa","Lomas de la Carolina, Córdoba"
174,USD 129.000,Departamento en Venta Zona sur Barrio Jardín Complejo Cerrado 3 Dormitorios + Cochera,"Córdoba, Córdoba"
175,USD 170.000,Esquiu al 400,"General Paz, Córdoba"
176,USD 52.000,Bºgral Paz!! ED. Categoria Y Piscina!!,"General Paz, Córdoba"
177,$ 26.000.000, peru 175,"Nueva Córdoba, Córdoba"
178,USD 39.900,Deán Funes 700,"Córdoba, Córdoba"
179,USD 39.500,Suipacha 2200,"Balcones del Chateau, Córdoba"
180,USD 840.000,Av. Ejercito Argentino 3600,"Las Delicias, Córdoba"
181,USD 78.000,Jujuy 100,"Córdoba, Córdoba"
182,USD 35.000,Av. Colon 1800,"Alberdi, Córdoba"
183,USD 48.000,Baigorri 868,"Alta Córdoba, Córdoba"
184,USD 100.000,Avda. Colon 3400 4°,"Alto Alberdi, Córdoba"
185,USD 435.000,camino san carlos 6000,"Fincas 1, Córdoba"
186,USD 155.000,Paloma 715,"Altos del Chateau, Córdoba"
187,USD 153.000,Venta Duplex en Manantiales 3 Dormitorios Entrega + Financiacion,"Manantiales, Córdoba"
188,USD 285.000,Chacabuco 775,"Nueva Córdoba, Córdoba"
189,USD 190.000,Cristobal de Mancha y Velazco 1945,"Ayacucho, Córdoba"
190,USD 530.000,Molino De Torres Lote / N° 5301,"El Bosque, Córdoba"
191,USD 159.000,Angel Peñaloza ,"Cañitas, Córdoba"
192,USD 85.000,Paraná al 300,"Nueva Córdoba, Córdoba"
193,USD 85.000,Venta! Duplex 3 Dormitorios en Colinas de Manantiales!!! Patio Galería y Asador!,"Córdoba, Córdoba"
194,USD 21.000,Estados Unidos 2336,"Córdoba, Córdoba"
195,USD 127.000,LA Calandria,"La Calandria, Córdoba"
196,USD 90.000,Cataluña 2400,"Colón, Córdoba"
197,USD 450.000,Country Cañuelas Lote / N° 0,"Cañuelas Country Golf, Córdoba"
198,USD 120.000,"Dúplex en Venta en Miradores de Manantiales 2,.3 Dormitorios, 3 Baños, Patio con Galeria","Miradores de Manantiales, Córdoba"
199,USD 198.000,Tejas Del Sur,"Las Tejas del Sur, Córdoba"
200,USD 51.000,24 de Septiembre al 1800,"General Paz, Córdoba"
201,USD 71.600,bv illia esquina parana ,"Nueva Córdoba, Córdoba"
202,USD 115.000,Moderno Dúplex en Venta en Miradores de Manantiales 2,"Miradores de Manantiales, Córdoba"
203,USD 59.900,"En Venta Excepcional Departamento 1 Dormitorio en General Paz , Balcón, Desocupado.","General Paz, Córdoba"
204,USD 160.000,EL Collado Condominio Privado,"Córdoba, Córdoba"
205,USD 89.900,Ibarbalz,"General Paz, Córdoba"
206,USD 170.000,Figueroa Alcorta al 100,"Centro, Córdoba"
207,USD 750.000,Cañuelas Country Lote / N° 0,"Cañuelas Country Golf, Córdoba"
208,USD 70.000,Venta Duplex a Estrenar - Nueva Cordoba - Av Velez Sarsfield 1121,"Nueva Córdoba, Córdoba"
209,USD 117.000,ESTRADA 100,"Nueva Córdoba, Córdoba"
210,USD 168.000,Venta Duplex en Manantiales 4 Dormitorios 1en Planta Baja Frente a Plaza,"Manantiales, Córdoba"
211,USD 72.000,Lucio V. Mansilla 2190,"Colón, Córdoba"
212,Consultar precio,Hipólito Irigoyen y Estrada- Frente Plaza España,"Nueva Córdoba, Córdoba"
213,USD 60.000,Av. Ramon Carcano al 1000,"Barrio Privado Chateau Carreras, Córdoba"
214,USD 78.000,"Prados de Manantiales - L2 M40 ""B""","Prados de Manantiales, Córdoba"
215,USD 430.000,Villa Belgrano,"Villa Belgrano, Córdoba"
216,Consultar precio,Rossen Barrio Privado - Valle Escondido,"Valle Escondido , Córdoba"
217,USD 10,Pacifico 1,"Valle Escondido , Córdoba"
218,USD 174.000,Santa Rosa 3200,"Alto Alberdi, Córdoba"
219,USD 69.000,Bv. los Andes al 100,"Cofico, Córdoba"
220,USD 790.000,Manzana 54,"Altos del Chateau, Córdoba"
221,USD 72.900,Colón 4900,"Alto Alberdi, Córdoba"
222,USD 48.500,Belgrano y Santiago Temple Barrio Guemes.,"Güemes, Córdoba"
223,USD 130.000,Obispo Oro 200,"Nueva Córdoba, Córdoba"
224,USD 63.000,Lima al 1300,"General Paz, Córdoba"
225,USD 650.000,Av Hipólito Yrigoyen al 500,"Nueva Córdoba, Córdoba"
226,USD 45.000,Invierta EN Cofico!! Emprend. Eleven Descence!!,"Cofico, Córdoba"
227,USD 133.000,Lomas de Manantiales,"Córdoba, Córdoba"
228,USD 45.000,Avenida Colón 1700,"Alberdi, Córdoba"
229,USD 32.000,Av Santa Fe 675- 2ºpiso,"Providencia, Córdoba"
230,USD 165.000,"Parque Capital - Impecable! , Tupungato 2065","Córdoba, Córdoba"
231,USD 42.000,Arrecifes S/N,"Colón, Córdoba"
232,USD 49.000,San Martin al 200,"Centro, Córdoba"
233,USD 68.000,Av 24 DE Septiembre 1600 - Posesion Inmediata -,"General Paz, Córdoba"
234,USD 90.000,¡apto Bancor! Housing Argüello - 3 Dormitorios - Mogrovejo 7789,"Argüello, Córdoba"
235,USD 165.000,Colon 600 1°,"Centro, Córdoba"
236,USD 34.000,9 de Julio 2400,"Alto Alberdi, Córdoba"
237,USD 108.000,El Plumerillo 2200,"Parque Chacabuco, Córdoba"
238,USD 318.000,Departamento a la Venta en Torre Vip de Opera con Cochera,"Las Rosas, Córdoba"
239,USD 130.000,Dúplex a Estrenar se Vende Solares DE Manatiales,"Manantiales, Córdoba"
240,USD 165.000,Calmayo 2010,"Jardín, Córdoba"
241,USD 149.000,Colinas de Manantiales,"Manantiales, Córdoba"
242,USD 96.000,Jardin - Appto Bancor,"Córdoba, Córdoba"
243,USD 110.000,Catamarca al 1000,"General Paz, Córdoba"
244,USD 110.000,Casa en Venta 5 Dormitorios. Zona Sur | Recibe Departamento,"Parque Atlántica, Córdoba"
245,USD 550.000,Lomas de la Carolina Lote 9 mza 63 9,"Lomas de la Carolina, Córdoba"
246,USD 94.000,Catamarca al 800,"General Paz, Córdoba"
247,USD 94.000,Obispo Trejo 1200 - Opcional Cocheras-,"Nueva Córdoba, Córdoba"
248,USD 172.000,Cañada de Gomez 100,"Colinas de Manantiales, Córdoba"
249,USD 58.000,Lima ,"General Paz, Córdoba"
250,USD 90.000,Manantiales,"Córdoba, Córdoba"
251,USD 57.500,Miguel del C. Corro al 1000,"Güemes, Córdoba"
252,USD 670.000,Lomas de la Carolina - 3 Dormitorios,"Lomas de los Carolinos, Córdoba"
253,USD 270.000,Lo Celso 6000,"Argüello, Córdoba"
254,USD 550.000,Country Altos Del Chateau Lote / N° 0,"Altos del Chateau, Córdoba"
255,USD 97.000,Catamarca al 1509,"General Paz, Córdoba"
256,USD 48.000,Santa Rosa 1100,"Alberdi, Córdoba"
257,USD 98.500,25 de Mayo 1152,"General Paz, Córdoba"
258,Consultar precio,Ituzaingó 1200,"Nueva Córdoba, Córdoba"
259,USD 175.000,Cañuelas Chico 0,"Cañuelas Country Golf, Córdoba"
260,USD 790.000,Casa en Las Delicias-3 Dormitorios,"Las Delicias, Córdoba"
261,USD 380.000,Santina Norte,"Santina Norte, Córdoba"
262,USD 99.500,Obispo Trejo Esquina Peru,"Nueva Córdoba, Córdoba"
263,USD 40.000,ALVEAR 26,"Nueva Córdoba, Córdoba"
264,USD 180.000,Duplex a Estrenar a la Venta en Green Ville 2 Zona Sur Córdoba Capital,"Greenville II, Córdoba"
265,USD 120.000,Felix Aguilar 1099,"Paso de los Andes, Córdoba"
266,USD 130.000,Canvas-velezarsfield 1200| Dpto 7B,"Nueva Córdoba, Córdoba"
267,USD 420.000,Laplace 5442,"Villa Belgrano, Córdoba"
268,USD 145.000,Nicole al 5800,"Villa Belgrano, Córdoba"
269,USD 135.000,Manuel Pizarro 2500,"Villa Centenario, Córdoba"
270,USD 550.000,Consultar dirección,"El Bosque, Córdoba"
271,USD 85.000,Manzana 86 Parcela 10 0,"Centro, Córdoba"
272,USD 280.000,Dpto 3 Dormitorios en Mai Tei,"Barrio Privado Chateau Carreras, Córdoba"
273,USD 155.000,Paloma 715,"Altos del Chateau, Córdoba"
274,USD 435.000,camino san carlos 6000,"Fincas 1, Córdoba"
275,USD 180.000,Fontanas del Sur I| Bunge  4450,"Córdoba, Córdoba"
276,USD 52.000,Atención! PB a Estrenar! Gran Patio!! Bº Cofico,"Cofico, Córdoba"
277,USD 135.000,Portales Del Sur (calle Huiliches),"Parque Atlántica, Córdoba"
278,USD 265.000,Pérez del Viso 4265,"Parque Corema, Córdoba"
279,USD 185.000,Las Piedras Housing Privado - Valle Escondido,"Valle Escondido , Córdoba"
280,USD 158.000,Manantiales,"Manantiales, Córdoba"
281,USD 180.000,Duplex a Estrenar a la Venta en Green Ville 2 Zona Sur Córdoba Capital,"Greenville II, Córdoba"
282,USD 67.000,Obispo Trejo 400 - CON Renta -,"Nueva Córdoba, Córdoba"
283,USD 108.000,Duplex en Venta de 3 Dormitorios a Estrenar en Prados de Manantiales. Recibe Menor!,"Prados de Manantiales, Córdoba"
284,USD 162.000,Calandria 151,"Barrio Privado Chateau Carreras, Córdoba"
285,USD 260.000,Chacabuco 540,"Nueva Córdoba, Córdoba"
286,USD 330.000,Av. General Paz al 600,"Centro, Córdoba"
287,USD 145.000,Independencia 750,"Nueva Córdoba, Córdoba"
288,USD 50.000,24 de Septiembre al 1900,"General Paz, Córdoba"
289,USD 450.000,Lomas de la Carolina,"Lomas de la Carolina, Córdoba"
290,Consultar precio,Blas Pascal al 5300,"Villa Belgrano, Córdoba"
291,USD 450.000,Country Cañuelas Lote / N° 0,"Cañuelas Country Golf, Córdoba"
292,USD 60.000,Av. Ramon Carcano al 1000,"Barrio Privado Chateau Carreras, Córdoba"
293,USD 58.000,Lima ,"General Paz, Córdoba"
294,USD 97.000,Catamarca al 1509,"General Paz, Córdoba"
295,USD 215.000,Av. República de China al 500,"Las Moras, Valle Escondido "
296,USD 170.000,¡apta Bancor! Pasaje Chilome 6055,"Argüello, Córdoba"
297,USD 82.000,Ovidio Lagos al 400,"General Paz, Córdoba"
298,USD 125.000,Venta GNI Cardinales Cofico Departamento 2 Dormitorios,"Cofico, Córdoba"
299,Consultar precio,Rodas Salguero- Obispo Salguero 535,"Nueva Córdoba, Córdoba"
300,USD 120.000,Manantiales,"Manantiales, Córdoba"
301,USD 88.500,Viamoente al 400,"General Paz, Córdoba"
302,USD 198.000,Tejas Del Sur,"Las Tejas del Sur, Córdoba"
303,USD 80.000,"Departamento en Venta en Nueva Córdoba,2 Dormitorios . Refaccionado. A mts de Parque de las Tejas","Nueva Córdoba, Córdoba"
304,USD 37.900,Monseñor de Andrea al 200,"Alto Alberdi, Córdoba"
305,USD 430.000,Santina Norte / Valle Escondido,"Santina Norte, Córdoba"
306,USD 115.000,Raul Rina al 8700,"Argüello, Córdoba"
307,USD 185.000,"Greenville 2, Unnamed Road, O´Higgins, Córdoba 0","Greenville II, Córdoba"
308,USD 195.000,Los Pontones 200,"Las Tejas del Sur, Córdoba"
309,USD 65.100,Dean Funes 800,"Centro, Córdoba"
310,USD 68.000,Lima al 1300 a Estrenar 1 Dormitorio con Balcon,"General Paz, Córdoba"
311,USD 520.000,El Bosque,"El Bosque, Córdoba"
312,USD 102.000,Miradores de Manantiales Manzana 85 - Lote 3,"Miradores de Manantiales, Córdoba"
313,USD 100.000,Buenos Aires 986,"Nueva Córdoba, Córdoba"
314,USD 70.000,AV. VELEZ SARSFIELD 706,"Nueva Córdoba, Córdoba"
315,USD 95.000,Bv. Los Extremeños 4900 4°,"Jardín Claret, Córdoba"
316,USD 125.000,La Catalina,"Córdoba, Córdoba"
317,USD 109.000,Luis Ignacio Vélez 1125,"Rogelio Martínez, Córdoba"
318,USD 72.000,AVENIDA VELEZ SARSFIELD 677,"Nueva Córdoba, Córdoba"
319,USD 145.000,Roma AL 300 - Barrio General PAZ,"General Paz, Córdoba"
320,USD 640.000,Casa en Venta-country La Cascada 3 Dormitorios Fondo Golf,"La Cascada Country Golf, Córdoba"
321,USD 145.000,Casa en Greenville 2,"Greenville II, Córdoba"
322,USD 245.000,Ernesto Lawrence 7800,"Villa Belgrano, Córdoba"
323,USD 139.700,Sureño de Manantiales II,"Manantiales, Córdoba"
324,USD 140.000,Lavalleja 1000,"Alta Córdoba, Córdoba"
325,USD 276.000,Siete Soles,"Siete Soles Naturaleza Urbana, Córdoba"
326,USD 140.000,poeta lugones 72,"Córdoba, Córdoba"
327,USD 120.000,"Dúplex en Venta en Miradores de Manantiales 2,.3 Dormitorios, 3 Baños, Patio con Galeria","Miradores de Manantiales, Córdoba"
328,USD 115.000,"Venta Departamento en Nueva Córdoba de 3 Dormitorios ,dependencia , Cochera. Apto Bancor","Nueva Córdoba, Córdoba"
329,USD 209.900,Beatriz Galindo 1800,"Cerro de las Rosas, Córdoba"
330,USD 42.000,DEAN FUNES 934,"Alberdi, Córdoba"
331,USD 170.000,Mendoza 20,"Alto Alberdi, Córdoba"
332,USD 529.000,Hipolito Yrigoyen 592,"Nueva Córdoba, Córdoba"
333,USD 142.000,ambrosio olmos 836,"Nueva Córdoba, Córdoba"
334,USD 110.000,Casa en Venta 5 Dormitorios. Zona Sur | Recibe Departamento,"Parque Atlántica, Córdoba"
335,USD 95.000,Docta boulevard,"DOCTA, Córdoba"
336,USD 63.000,lima 987,"General Paz, Córdoba"
337,USD 65.000,Obispo Salguero 600,"Nueva Córdoba, Córdoba"
338,USD 120.000,Dúplex en Venta en Miradores de Manantiales I de 3 Dormitorios a Estrenar,"Miradores de Manantiales, Córdoba"
339,USD 48.000,Rivera Indarte 1500,"Cofico, Córdoba"
340,USD 95.000,Catamarca 851,"General Paz, Córdoba"
341,USD 560.000,San Cayetano 465,"Estancia la Carolina, Córdoba"
342,USD 55.000,Félix Frías al 446,"General Paz, Córdoba"
343,USD 380.000,Irigoyen 0,"Nueva Córdoba, Córdoba"
344,USD 73.000,Obispo Oro al 400,"Nueva Córdoba, Córdoba"
