,Precio,Direccion,Barrio
1897,USD 36.000,pasaje 37 100,"Estación Flores, Córdoba"
1898,USD 160.000,Felix olmedo 2320,"Rogelio Martínez, Córdoba"
1899,USD 22.000,NEUQUEN 291,"Alberdi, Córdoba"
1900,USD 168.000,,"Lomas del Chateau, Córdoba"
1901,USD 66.000,BV SAN JUAN 85,"Córdoba, Córdoba"
1902,USD 95.000,Obispo Salguero 543,"Nueva Córdoba, Córdoba"
1903,USD 85.000,obispo trejo 1318,"Nueva Córdoba, Córdoba"
1904,USD 95.000,Tanti 1740,"Jardín, Córdoba"
1905,USD 99.000,Docta,"DOCTA, Córdoba"
1906,USD 115.000,Pueyrredon 152,"Nueva Córdoba, Córdoba"
1907,USD 37.000,Coronel Olmedo 133,"Alberdi, Córdoba"
1908,USD 130.000,Piriapolis N° al 4000,"Córdoba, Córdoba"
1909,USD 65.500,,"Centro, Córdoba"
1910,USD 125.000,Cañada de Gomez S/N,"Manantiales, Córdoba"
1911,USD 206.000,Poeta Lugones 200,"Nueva Córdoba, Córdoba"
1912,USD 48.000,Bv. San Juan 306,"Centro, Córdoba"
1913,USD 29.000,Baigorri al 900,"Alta Córdoba, Córdoba"
1914,USD 240.000,NICEFORO CASTELLANO 5400,"Granja de Funes, Córdoba"
1915,USD 44.000,Sobral al 300,"Córdoba, Córdoba"
1916,USD 119.000,,"Nueva Córdoba, Córdoba"
1917,USD 120.000,Calle Pública 2464,"Jardín, Córdoba"
1918,USD 32.500,SANTA ROSA 1188,"Alberdi, Córdoba"
1919,USD 145.000,Carlos Nicol N° al 5800,"Villa Belgrano, Córdoba"
1920,USD 95.000,San Lorenzo al 100,"Nueva Córdoba, Córdoba"
1921,USD 450.000,Fincas del Sur 1 000,"Fincas del Sur I, Córdoba"
1922,USD 145.000,De los Emilianos 4900,"Los Boulevares, Córdoba"
1923,USD 95.000,CATAMARCA 1554,"Córdoba, Córdoba"
1924,USD 59.000,Chacabuco 249,"Centro, Córdoba"
1925,USD 78.000,,"Argüello, Córdoba"
1926,USD 180.000,Paso de Uspallata al 2400,"Lomas de San Martín, Córdoba"
1927,USD 450.000," C5639 Córdoba, Los Soles, Valle Escondido, Córdoba","Los Soles, Valle Escondido "
