,Precio,Direccion,Barrio
6472,USD 70.000,"Av. Colón 350, X5022 Córdoba","Centro, Córdoba"
6473,USD 165.000,Avenida Ohiggins al 6100,"Mansos del Sur, Córdoba"
6474,USD 300.000,,"Los Mimbres, Córdoba"
6475,USD 55.000,"Sagrada Familia 447, Córdoba Capital, Argentina","VIlla Alberdi, Córdoba"
6476,USD 25.000,"Velez Sarfield 1302 Nueva Córdoba, Cordoba Capital, Argentina","Nueva Córdoba, Córdoba"
6477,USD 130.000,Venta Duplex a Estrenar Docta Urbanización.,"Docta Boulevard, DOCTA"
6478,USD 73.000,Nueva Cordoba Espectacular Ubicacion Lanin 11 Preventa Lanzamiento!!,"Nueva Córdoba, Córdoba"
6479,USD 115.000,JUAN MITRE 2324,"Parque Capital, Córdoba"
6480,USD 180.000,,"Alto Verde, Córdoba"
6481,USD 42.000,Sánchez de Loria 4772,"San Lorenzo, Córdoba"
6482,$ 450.000,Edmundo Mariotte 5440,"Córdoba, Córdoba"
6483,USD 69.000,Esposos Curie al 1900,"Maipú, Córdoba"
6484,$ 115.000,Cañada de Gómez 6000,"Manantiales, Córdoba"
6485,$ 85.000,Cañada de Gómez 100,"Córdoba, Córdoba"
6486,USD 215.000,Donosa e Impira 00,"Miradores de Manantiales, Córdoba"
6487,USD 325.000,Siete Soles 62,"Siete Soles Naturaleza Urbana, Córdoba"
6488,USD 480.000,Jardín Inglés 1,"Jardín Inglés, Valle Escondido "
6489,USD 88.000,Betania Plaza,"Nueva Córdoba, Córdoba"
6490,USD 48.000,Rivadeo 1530,"Cofico, Córdoba"
6491,$ 100.000,,"Juniors, Córdoba"
6492,USD 85.000,Obispo Trejo al 800 Nueva Cordoba,"Nueva Córdoba, Córdoba"
6493,USD 270.000,Nazaret 3233,"Córdoba, Córdoba"
6494,USD 55.000,24 de Septiembre 1521,"General Paz, Córdoba"
6495,USD 75.000,San Lorenzo 427,"Nueva Córdoba, Córdoba"
6496,USD 80.000,Loft LA Calandria,"La Calandria, Córdoba"
6497,USD 55.000,Mariano Fragueiro 252,"Centro, Córdoba"
6498,USD 430.000,Menendez Pidal 3533,"URCA, Córdoba"
6499,USD 390.000,Jardines del Jockey,"Córdoba, Córdoba"
6500,USD 31.000,Venta Casa dos Dormitorios Patio y Garage B° San Martin,"San Martín, Córdoba"
6501,USD 167.000, Av. Laplace 5391,"Villa Belgrano, Córdoba"
6502,USD 62.000,,"Alta Córdoba, Córdoba"
