,Precio,Direccion,Barrio
0,USD 205.000,Patagonia Village H - 23,"Valle Escondido , Córdoba"
1,USD 26.800,Ana Maria Janner al 1227,"General Pueyrredón, Córdoba"
2,USD 110.000,El Oasis - Av Ghandi - Zona Valle Escondido,"Nuevo URCA, Córdoba"
3,USD 670.000,Lomas de la Carolina,"Lomas de la Carolina, Córdoba"
4,USD 120.000,Manantiales,"Prados de Manantiales, Córdoba"
5,USD 165.000,Calmayo 2000,"Jardín Espinosa, Córdoba"
6,USD 124.900,"Terrazas de Manantiales Lote 22, Mzna 0","Centro, Córdoba"
7,USD 51.000,Jujuy 2062,"Alta Córdoba, Córdoba"
8,USD 245.000,AV. REPÚBLICA DE CHINA 1951,"El Collado, Valle Escondido "
9,USD 130.000,Islas del Atlántico sur 4267,"Granja de Funes, Córdoba"
10,USD 150.000,Figueroa y Mendoza 800,"Cerro de las Rosas, Córdoba"
11,USD 123.859,,"Manantiales, Córdoba"
12,USD 163.600,Mñor Lindor Ferreyra 6714,"Argüello, Córdoba"
13,USD 90.000,Perú al 100. Nueva Córdoba. Cba,"Nueva Córdoba, Córdoba"
14,USD 175.000,General Paz 300,"Centro, Córdoba"
15,USD 110.000,Padre Luis Galeano 100 - Complejo Opera Luxury,"Cerro de las Rosas, Córdoba"
16,USD 39.000,Venta Depto de 1 Dormitorio Barrio Alberdi,"Alberdi, Córdoba"
17,Consultar precio,Jardín Espinosa,"Jardín Espinosa, Córdoba"
18,USD 175.000,Gay Lussac,"Villa Belgrano, Córdoba"
19,USD 89.500,Calle Publica Lote / N° 0,"Colinas de Manantiales, Córdoba"
20,USD 69.800,"Departamento en Venta en Nueva Córdoba, 1 Dormitorio, Balcon. Inmejorable Ubicacion","Nueva Córdoba, Córdoba"
21,USD 320.000,RAMON Y CAJAL 5800,"Argüello, Córdoba"
22,USD 45.900,"Aguirre Camara 15- 5""piso","Alto Alberdi, Córdoba"
23,USD 46.000,Duarte Quiros al 5000,"Quebrada de las Rosas, Córdoba"
24,USD 245.000,Botafogo 3860,"Jardín Espinosa, Córdoba"
25,USD 77.267,Fray Mamerto Esquiú 772,"General Paz, Córdoba"
26,USD 110.000,Piotti 6539,"Argüello, Córdoba"
27,USD 498.000,Lomas de la Carolina,"Lomas de la Carolina, Córdoba"
28,USD 240.000,José Esteban Bustos 1500,"Cerro de las Rosas, Córdoba"
29,USD 226.529,General Paz,"General Paz, Córdoba"
30,USD 145.000,Complejo Maitei,"Barrio Privado Chateau Carreras, Córdoba"
31,USD 155.000,Blomberg al 1700,"Maipú, Córdoba"
32,USD 300.000,Gregorio Velez al 4000,"Cerro de las Rosas, Córdoba"
33,USD 520.000,Cañuelas Country Golf,"Cañuelas Country Golf, Córdoba"
34,USD 99.000,ituzaingo 946,"Nueva Córdoba, Córdoba"
35,USD 114.900,José Roque Funes 1900,"Cerro de las Rosas, Córdoba"
36,USD 43.000,Corrientes 200 - CON Escritura,"Centro, Córdoba"
37,USD 81.500,Sucre 2014,"Alta Córdoba, Córdoba"
38,USD 65.000,Hipólito Vieytes 1331,"Los Naranjos, Córdoba"
39,USD 115.000,Sucre,"Cofico, Córdoba"
40,Consultar precio,Illia 100,"Nueva Córdoba, Córdoba"
41,USD 43.500,Viamonte al 1200,"General Paz, Córdoba"
42,USD 85.000,Leon Pinelo al 1600,"Los Naranjos, Córdoba"
43,USD 89.000,Callao al 1500,"Lourdes, Córdoba"
44,USD 161.500,Independencia 750,"Nueva Córdoba, Córdoba"
45,USD 200.000,Ópera Luxury - Padre Luis Galeano al 900,"Las Rosas, Córdoba"
46,USD 78.000,Duarte Quiros al 3800,"Alto Alberdi, Córdoba"
47,USD 80.000,Ibarbalz al 700,"General Paz, Córdoba"
48,USD 360.000,Hermosa Casa B Jardín Espinosa Manco Capac al 3300,"Jardín Espinosa, Córdoba"
49,USD 120.000,Payador Juan Guadalberto Godoy 4967,"Poeta Lugones, Córdoba"
50,USD 98.000,Miradores de Manantiales 1,"Miradores de Manantiales, Córdoba"
51,USD 195.000,Av. Republica de China 1507 LAS Piedras Housing,"Valle Escondido , Córdoba"
52,USD 2.500.000,Casa a la Venta en el Cerro de Las Rosas Sobre la Barranca de Hugo Wast,"Cerro de las Rosas, Córdoba"
53,USD 550.000,Av. Los Alamos 1111,"El Bosque, Córdoba"
54,USD 35.000,Agustin Garzon 3,"San Vicente, Córdoba"
55,USD 209.000,Andrés Blanqui al 4200,"Alejandro Centeno, Córdoba"
56,USD 160.000,Bv. Illia 440,"Nueva Córdoba, Córdoba"
57,USD 59.900,Paranaiba al 2100,"San Nicolás, Córdoba"
58,USD 35.000,Santa Fe 675,"Providencia, Córdoba"
59,USD 135.000,Pedro Minuzzi 133,"General Artigas, Córdoba"
60,USD 420.000,Edmundo Mariotte 6100,"Granja de Funes, Córdoba"
61,USD 105.000,Francisco Antonio Bazán al 7200,"Manantiales, Córdoba"
62,USD 60.000,Lima 1385,"General Paz, Córdoba"
63,USD 28.000,Martín García 700,"San Martín, Córdoba"
64,USD 245.000,Claudio de Arredondo,"Córdoba, Córdoba"
65,USD 43.000,Pasaje Catoira 515,"Alta Córdoba, Córdoba"
66,USD 185.000,GREENVILLE2,"Greenville II, Córdoba"
67,USD 45.000,Barcelona al 2200,"Maipú, Córdoba"
68,USD 550.000,Argañaraz y Murgia (P),"Jardín Espinosa, Córdoba"
69,USD 285.000,La Macarena al 500,"Córdoba, Córdoba"
70,USD 75.650,sol de Mayo esq Luis Agote,"Los Naranjos, Córdoba"
71,USD 125.000,La Catalina,"Córdoba, Córdoba"
72,USD 68.000,General paz 3400,"Alta Córdoba, Córdoba"
73,USD 49.000,Bedoya 990 - Barrio Cofico,"Cofico, Córdoba"
74,USD 62.900,Gral. Güemes al 300,"General Paz, Córdoba"
75,USD 49.500,Av Velez Sasrsfield al 1000,"Nueva Córdoba, Córdoba"
76,USD 45.000,Maipu - Esposos Curie al 1900,"Maipú, Córdoba"
77,USD 34.900,Caseros 3100,"Alto Alberdi, Córdoba"
78,USD 250.000,Manco Capac 3890 1,"Jardín Espinosa, Córdoba"
79,USD 260.000,Villa Warcalde - PRE Venta - Precio Lanzamiento,"Villa Warcalde, Córdoba"
80,USD 850.000,Las Delicias,"Las Delicias, Córdoba"
81,USD 375.000,Av. Valparaíso 4500,"Las Tejas del Sur, Córdoba"
82,USD 150.000,Solares de Manantiales 100,"Solares de Manantiales, Córdoba"
83,USD 105.000,Transito Cáceres de Allende 400,"Nueva Córdoba, Córdoba"
84,USD 75.000,Colinas de Manantiales L22 M65,"Córdoba, Córdoba"
85,USD 89.000,Colinas de Manantiales,"Córdoba, Córdoba"
86,USD 320.000,Casa a la Venta en San Salvador con 3 Terrenos!,"San Salvador, Córdoba"
87,USD 64.990,Balcarce 226,"Nueva Córdoba, Córdoba"
88,USD 75.000,Av del Piamonte 100,"Balcones del Chateau, Córdoba"
89,USD 80.000,"Departamento en Venta en Nueva Córdoba,2 Dormitorios . Refaccionado. A mts de Parque de las Tejas","Nueva Córdoba, Córdoba"
90,USD 170.000,"Greenville 2, O´Higgins 7500","Greenville II, Córdoba"
91,USD 850.000,Altos del Chateau Contemporánea Pileta Climatizada,"Altos del Chateau, Córdoba"
92,USD 110.000,Av. Colón al 4900- Dpto 2 Dormitorios,"Quebrada de las Rosas, Córdoba"
93,USD 500.000,Country Manantiales Lote / N° 0,"Manantiales Country, Córdoba"
94,USD 70.000,ituzaingo 667,"Nueva Córdoba, Córdoba"
95,USD 78.000,Jujuy 100,"Córdoba, Córdoba"
96,USD 115.000,Bv. Chacabuco 750,"Nueva Córdoba, Córdoba"
97,USD 37.500,Viamonte al 1200,"General Pueyrredón, Córdoba"
98,USD 240.000,Tycho Brahe 4690,"Villa Belgrano, Córdoba"
99,USD 112.000,Moderno Duplex de 3 Dormitorios en San Ignacio Village,"San Ignacio Village, Córdoba"
100,USD 125.000,Catamarca 850 -unidad Premium -,"General Paz, Córdoba"
101,USD 97.300,Nicolas Avellaneda 2223,"Alta Córdoba, Córdoba"
102,USD 140.000,Granja DE Funes - Hermosa Casa 3 Dormitorios - Impecable Estado,"Granja de Funes, Córdoba"
103,USD 95.000,Docta boulevard,"DOCTA, Córdoba"
104,USD 600.000,Celso Barrios 1502,"Córdoba, Córdoba"
105,USD 90.000,Manantiales,"Córdoba, Córdoba"
106,USD 360.000,"Casa en Venta Planta Baja! Siete Soles, Heredades! 3 Dormitorios-lote 1500m y Pileta!","Córdoba, Córdoba"
107,USD 240.000,Urca - Comercial! Menendez Pidal 3768,"URCA, Córdoba"
108,USD 150.000,Aconquija 2892,"Jardín, Córdoba"
109,USD 47.000,Baigorri 800 - Posesion Inmediata -,"Alta Córdoba, Córdoba"
110,USD 152.000,Ovidio Lagos al 200,"General Paz, Córdoba"
111,USD 97.000,Catamarca al 1509,"General Paz, Córdoba"
112,USD 140.000,Granja DE Funes - Hermosa Casa 3 Dormitorios - Impecable Estado,"Cerro de las Rosas, Córdoba"
113,USD 104.000,Docta Urbanizacion MZA 46 Lote 14 ET 3 CBA,"Docta Boulevard, DOCTA"
114,USD 114.000,Avenida Cárcano 200,"Altos del Chateau, Córdoba"
115,USD 81.000,Buenos Aires 400,"Nueva Córdoba, Córdoba"
116,USD 190.000,Cañuelas Chico,"Cañuelas Country Golf, Córdoba"
117,USD 96.000,Jardin - Appto Bancor,"Córdoba, Córdoba"
118,USD 470.000,Fortin Del Pozo Lote / N° 0,"Country Fortin del Pozo, Córdoba"
119,USD 120.000,Residencial Velez Sarsfield - Santiago Caceres al 2800,"Colinas de Vélez Sársfield, Córdoba"
120,USD 75.500,ambrosio olmos 836,"Nueva Córdoba, Córdoba"
121,USD 378.000,Faustino Allende al 400,"Cofico, Córdoba"
122,USD 79.800,Ituizangó 665,"Nueva Córdoba, Córdoba"
123,USD 129.000,10 de Octubre al 4700,"Córdoba, Córdoba"
124,USD 270.000,Casa en Venta en Villa Belgrano con Pileta y Terreno Grande,"Villa Belgrano, Córdoba"
125,USD 150.000,Bernardo O'higgins al 6100,"Greenville II, Córdoba"
126,USD 42.700,Lunetto- Mejico 950,"General Pueyrredón, Córdoba"
127,USD 110.000,Ramón Cárcano al 280,"Barrio Privado Chateau Carreras, Córdoba"
128,USD 88.000,Juan Manuel estrada 23 ,"Nueva Córdoba, Córdoba"
129,USD 139.900,Boulevard Chacabuco 0,"Córdoba, Córdoba"
130,USD 165.000,Nores Martinez 2700,"Jardín, Córdoba"
131,USD 235.000,Casona en el Cerro Sobre Fader y Marcos Sastre 671 m2 de Terreno,"Cerro de las Rosas, Córdoba"
132,USD 150.000,Solares de Manantiales 100,"Solares de Manantiales, Córdoba"
133,USD 25.000,"Departamento de 2 Dormitorio en B° Alta Córdoba, a Remodelar, con Balcón","Alta Córdoba, Córdoba"
134,USD 110.000,Se Vende Dùplex en Bº La Catalina 2 Dormitorios,"Córdoba, Córdoba"
135,USD 198.000,Tejas Del Sur,"Las Tejas del Sur, Córdoba"
136,USD 230.000,Rodríguez del Busto 3400,"Alto Verde, Córdoba"
137,USD 40.000,Jujuy 1487,"Cofico, Córdoba"
138,USD 29.500,Espora 32,"Alberdi, Córdoba"
139,USD 67.500,ayacucho 361,"Güemes, Córdoba"
140,Consultar precio,Tycho Brahe 4600,"Villa Belgrano, Córdoba"
141,USD 790.000,Casa en Barrancas - 4 Dormitorios,"Barrancas, Córdoba"
142,USD 172.500,Manantiales,"Manantiales, Córdoba"
143,USD 85.000,"Casa en Docta Avenida, 2 Dormitorios, Cochera Doble, Lote 250mts","Docta Avenida, DOCTA"
144,USD 139.000,Pastor Taboada 1135,"Altos de Vélez Sársfield, Córdoba"
145,USD 495.000,o higgins 6500,"Ferrer, Córdoba"
146,USD 55.000,Alberdi a mts Av Colón.,"Alberdi, Córdoba"
147,USD 35.000,Viamonte 1100,"General Pueyrredón, Córdoba"
148,USD 680.000,Sold Ramón Angel Cabrera 6000,"Altos del Chateau, Córdoba"
149,USD 58.000,Departamento General Paz! 1 Dormitorio! Excelente,"General Paz, Córdoba"
150,USD 45.000,Duarte Quiros 2121,"Alberdi, Córdoba"
151,USD 450.000,Cañuelas Country Golf,"Cañuelas Country Golf, Córdoba"
152,USD 155.000,Jacobo Joule 6500,"Villa Belgrano, Córdoba"
153,USD 270.000,Lo Celso 6000,"Argüello, Córdoba"
154,USD 140.000,Wenceslao Escalante 124,"Córdoba, Córdoba"
155,USD 498.000,Casa en Venta de 4 Dormitorios en Country del Jockey. Con Pileta. Fondo Golf. Oportunidad,"Jockey Club, Córdoba"
156,$ 37.626.750,Lima 1150,"General Paz, Córdoba"
157,USD 122.000,Prados de Manantiales M47 - L21,"Prados de Manantiales, Córdoba"
158,USD 85.000,Poeta Lugones 44 7 B,"Nueva Córdoba, Córdoba"
159,USD 108.000,Costas de Manantiales,"Costas de Manantiales, Córdoba"
160,USD 2.500.000,Casa a la Venta en Lomas de la Carolina Pensada Como un Hotel Para la Familia y Amigos,"Lomas de la Carolina, Córdoba"
161,USD 40.000,ALVEAR 26,"Nueva Córdoba, Córdoba"
162,USD 200.000,Faro del Poeta| Poeta Lugones 72,"Nueva Córdoba, Córdoba"
163,USD 75.500,ambrosio olmos 836,"Nueva Córdoba, Córdoba"
164,USD 120.000,Sucre al 1500,"Cofico, Córdoba"
165,USD 590.000,Lomas de la Carolina,"Lomas de la Carolina, Córdoba"
166,USD 140.000,Venta Duplex A Estrenar 3 Dorm. A 2 Cuadras de Paseo Rivera,"Villa Rivera Indarte, Córdoba"
167,USD 220.000,Camino San Carlos - Casona - 3400 m2,"Camino a San Carlos, Córdoba"
168,USD 140.000,poeta lugones 72,"Córdoba, Córdoba"
169,USD 185.000,Camino San Carlos al 6100,"Greenville II, Córdoba"
170,USD 195.000,"Casa en Venta en Cerro Chico, 3 Dormitorios, Pileta, Toda en Planta Baja.excelente Estado","Cerro Chico, Córdoba"
171,USD 95.000,Mexico al 1300,"General Pueyrredón, Córdoba"
172,USD 99.000,Clodomiro Ferreyra 700,"Residencial Vélez Sársfield, Córdoba"
173,USD 140.000,"La Calandria, Av. Cdad. de Valparaíso 6900","La Calandria, Córdoba"
174,USD 200.000,Poeta Lugones al 200,"Nueva Córdoba, Córdoba"
175,USD 109.000,La Paloma al 700,"Livette Chateau Córdoba, Córdoba"
176,USD 99.500,Obispo Trejo Esquina Peru,"Nueva Córdoba, Córdoba"
177,USD 65.000,lima 1655,"General Paz, Córdoba"
178,USD 420.000,o higgins 5400,"Country Fortin del Pozo, Córdoba"
179,USD 170.000,Av. Ohiggins 5500,"Cañuelas Country Golf, Córdoba"
180,USD 160.000,Crisol al 100,"Nueva Córdoba, Córdoba"
181,USD 140.000,Av. Ricardo Rojas 7400,"Argüello, Córdoba"
182,USD 110.000,PUBLICA 1000,"Manantiales, Córdoba"
183,USD 800.000,Las Delicias,"Las Delicias, Córdoba"
184,USD 153.000,Venta Duplex en Manantiales 3 Dormitorios Entrega + Financiacion,"Manantiales, Córdoba"
185,USD 790.000,Costa Verde,"Country Costa Verde, Córdoba"
186,USD 135.000,Mujica Lainez 3100,"Nuevo Poeta Lugones, Córdoba"
187,USD 430.000,Santina Norte / Valle Escondido,"Santina Norte, Córdoba"
188,USD 53.000,Jujuy 2064,"Alta Córdoba, Córdoba"
189,USD 135.000,León y Pizarro al 2300,"Santa Clara de Asís, Córdoba"
190,USD 108.000,Duplex en Venta de 3 Dormitorios a Estrenar en Prados de Manantiales. Recibe Menor!,"Prados de Manantiales, Córdoba"
191,USD 142.000,ambrosio olmos 836,"Nueva Córdoba, Córdoba"
192,USD 180.000,AV. VELEZ SARSFIELD 520,"Nueva Córdoba, Córdoba"
193,USD 79.000,Celso Barrios 2300,"Jardín Espinosa, Córdoba"
194,USD 220.000,Camino San Carlos - Casona - 3400 m2,"Camino a San Carlos, Córdoba"
195,USD 349.000,Fernando Fader 3450,"Cerro de las Rosas, Córdoba"
196,USD 72.000,Alto Alberdi! Semipiso 2 Dorm CON Cochera!!,"Alto Alberdi, Córdoba"
197,USD 235.000,Mario Flores 4200,"Las Tejas del Sur, Córdoba"
198,USD 195.000,Independencia al 200,"Nueva Córdoba, Córdoba"
199,USD 155.000,Manantiales I - La Serena,"Manantiales, Córdoba"
200,USD 45.000,Belgrano 1400,"Güemes, Córdoba"
201,USD 95.000,Campillo 230 - Certificado Aprobado,"Cofico, Córdoba"
202,Consultar precio,Av. Republica de China,"Valle Escondido , Córdoba"
203,Consultar precio,Nicolle 5800,"Villa Belgrano, Córdoba"
204,USD 235.000,Casona en el Cerro Sobre Fader y Marcos Sastre 671 m2 de Terreno,"Cerro de las Rosas, Córdoba"
205,USD 51.000,Av. 24 de Septiembre al 1200,"General Paz, Córdoba"
206,USD 117.000,Lomas DE Manantiales,"Altos de Manantiales, Córdoba"
207,USD 99.000,prados de manantiales 100,"Prados de Manantiales, Córdoba"
208,USD 115.000,"Venta Departamento en Nueva Córdoba de 3 Dormitorios ,dependencia , Cochera. Apto Bancor","Nueva Córdoba, Córdoba"
209,USD 75.000,Dpto en Nueva Córdoba 1 Dorm-illia al 200,"Nueva Córdoba, Córdoba"
210,USD 380.000,Donaciano del Campillo 1700,"Cerro de las Rosas, Córdoba"
211,USD 55.000,27 DE Abril 700 - CON Escritura -,"Centro, Córdoba"
212,USD 600.000,Celso Barrios 1502,"Córdoba, Córdoba"
213,USD 105.000,Poeta Lugones 344,"Nueva Córdoba, Córdoba"
214,USD 175.000,Monseñor ferreyra 6829,"Argüello, Córdoba"
215,USD 98.000,Av. Sagrada Familia 451,"Alto Alberdi, Córdoba"
216,USD 51.000,san juan 810,"Alberdi, Córdoba"
217,USD 115.000,Av Armada Argentina 5700,"San Ignacio Village, Córdoba"
218,USD 450.000,Casa en Las Delicias-2 Dormitorios,"Las Delicias, Córdoba"
219,USD 81.000,ambrosio olmos 1090,"Nueva Córdoba, Córdoba"
220,USD 31.500,Martin Garcia 877,"Córdoba, Córdoba"
221,USD 120.000,Obispo Trejo 1200 - Terraza Propia -,"Nueva Córdoba, Córdoba"
222,Consultar precio,Av. Republica de China al 2100,"Valle Escondido , Córdoba"
223,USD 110.000,Duplex en Venta en Manantiales! Vestidor y Baño en Suite! Lote 180m2,"Manantiales, Córdoba"
224,USD 190.000,"Dúplex Premium en Venta en Cañuelas Chico. 3 Dormitorios, Vestidor, Asador","Cañuelas Country Golf, Córdoba"
225,USD 122.000,Prados de Manantiales M47 - L21,"Prados de Manantiales, Córdoba"
226,USD 35.000,Av. Colon 1800,"Alberdi, Córdoba"
227,USD 260.000,Edmundo Mariotte 5459,"Villa Belgrano, Córdoba"
228,USD 490.000,Molino de Torres 5301,"El Bosque, Córdoba"
229,USD 220.000,Casa en Venta en La Morada - Villa Allende - Planta Baja - 2 Dormitorios - 2 Baños - Pileta,"Córdoba, Córdoba"
230,USD 400.000,principal quinta de flores 100,"Fincas 1, Córdoba"
231,USD 49.500,Av Velez Sasrsfield al 1000,"Nueva Córdoba, Córdoba"
232,USD 140.000,"La Calandria, Av. Cdad. de Valparaíso 6900","La Calandria, Córdoba"
233,USD 130.000,se Vende Hermoso Departamento de 2 Dorm. con Balcón en Complejo Sureño de Manantiales,"Manantiales, Córdoba"
234,USD 72.900,Colón 4900,"Alto Alberdi, Córdoba"
235,USD 180.000,rondeau 471,"Nueva Córdoba, Córdoba"
236,USD 203.000,Valle Escondido Pacifico Condominio Privado,"Valle Escondido , Córdoba"
237,USD 120.000,Residencial Velez Sarsfield - Santiago Caceres al 2800,"Colinas de Vélez Sársfield, Córdoba"
238,USD 325.000,Jardines del Jockey - Alumbrado,"Córdoba, Córdoba"
239,USD 66.900,san Ignacio Village,"Manantiales, Córdoba"
240,USD 97.000,Casa en Venta en Lomas del Chateau . 2 Dormitorios + Escritorio,"Lomas del Chateau, Córdoba"
241,USD 185.000,"Dúplex en Venta en Cañuelas Chico. Moderno, Luminoso, 3 Dormitorios","Cañuelas Country Golf, Córdoba"
242,USD 165.000,Roque Fereyra 1700,"Cerro de las Rosas, Córdoba"
243,USD 152.000,"Departamento en Venta en General Paz Terra V- Apto Crédito Bancor -2 Dormitorios, muy Luminoso","General Paz, Córdoba"
244,USD 55.000,Félix Frías al 446,"General Paz, Córdoba"
245,USD 190.000,Ramon y Cajal al 6000,"Villa Belgrano, Córdoba"
246,USD 44.000,Av. Colon al 5000,"Las Palmas, Córdoba"
247,USD 480.000,Cañuelas Golf -,"Cañuelas Country Golf, Córdoba"
248,USD 140.000,Granja DE Funes - Hermosa Casa 3 Dormitorios - Impecable Estado,"Cerro de las Rosas, Córdoba"
249,USD 96.000,Jardin - Appto Bancor,"Córdoba, Córdoba"
250,USD 67.000,obispo trejo 1280,"Nueva Córdoba, Córdoba"
251,USD 68.000,General paz 3400,"Alta Córdoba, Córdoba"
252,USD 450.000,Molino De Torres Lote / N° 0,"El Bosque, Córdoba"
253,USD 19.900,Juan A. Sarachaga 1297,"San Martín, Córdoba"
254,USD 180.000,Roberto Boyle 6100,"Córdoba, Córdoba"
255,USD 190.000,La Domitila - Housing en Barrio Jardín Claret,"Córdoba, Córdoba"
256,USD 198.000,Tejas Del Sur,"Las Tejas del Sur, Córdoba"
257,USD 250.000,Manco Capac 3890 1,"Jardín Espinosa, Córdoba"
258,USD 160.000,Costas DE Manantiales - A Estrenar,"Costas de Manantiales, Córdoba"
259,USD 98.000,Nobu Housing,"DOCTA, Córdoba"
260,USD 550.000,Consultar dirección,"El Bosque, Córdoba"
261,USD 35.000,Departamento en Venta en Barrio Alberdi - 1 Dormitorio - Apto Bancor,"Alberdi, Córdoba"
262,USD 110.000,Se Vende Dùplex en Bº La Catalina 2 Dormitorios,"Córdoba, Córdoba"
263,USD 150.000,GREENVILLE 2 ,"Greenville II, Córdoba"
264,USD 97.000,Pasaje Antonio Serrano 3336,"Jardín, Córdoba"
265,USD 45.000,Duarte Quiros al 5000,"Quebrada de las Rosas, Córdoba"
266,USD 91.500,velez sarsfield 727,"Nueva Córdoba, Córdoba"
267,USD 1.290.000,Venta! Casa Country Jockey Club! 2 Lotes!,"Jockey Club, Córdoba"
268,USD 195.000,"Casa en Venta en Cerro Chico, 3 Dormitorios, Pileta, Toda en Planta Baja.excelente Estado","Cerro Chico, Córdoba"
269,USD 550.000,El Bosque,"El Bosque, Córdoba"
270,USD 590.000,"Costa Verde en Urca , Calidad, Calidez y Disfrute muy Bien Integrados.","URCA, Córdoba"
271,USD 73.000,Jose Manuel Estrada 23,"Nueva Córdoba, Córdoba"
272,USD 45.000,Barcelona al 2200,"Maipú, Córdoba"
273,USD 63.000,Venta Hermoso Departamento de 1 Dorm en B° General Paz. Lima 1367,"General Paz, Córdoba"
274,USD 48.000,Avenida Marcelo T. de Alvear 1298,"Nueva Córdoba, Córdoba"
275,USD 56.000,Independencia 1000,"Nueva Córdoba, Córdoba"
276,USD 100.000,Pasaje Nores al 1400,"General Pueyrredón, Córdoba"
277,USD 295.000,Branly 5964,"Villa Belgrano, Córdoba"
278,USD 260.000,Jardin Espinosa - Argañaras y Murguia al 3600,"Jardín Espinosa, Córdoba"
279,USD 110.000,Ramón Cárcano al 280,"Barrio Privado Chateau Carreras, Córdoba"
280,USD 215.000,Miradores de Manantiales,"Miradores de Manantiales, Córdoba"
281,USD 135.000,Portales Del Sur (calle Huiliches),"Parque Atlántica, Córdoba"
282,USD 58.000,Departamento General Paz! 1 Dormitorio! Excelente,"General Paz, Córdoba"
283,USD 57.500,luis agote esquina sol de mayo,"San Francisco, Córdoba"
284,USD 1.400.000,Las Delicias,"Las Delicias, Córdoba"
285,USD 80.000,Departamento Manantiales,"Córdoba, Córdoba"
286,USD 55.000,Obispo Salguero 647,"Nueva Córdoba, Córdoba"
287,USD 105.000,lima 1367,"General Paz, Córdoba"
288,USD 380.000,Av. Hipólito Yrigoyen 9,"Nueva Córdoba, Córdoba"
289,USD 33.000,Domingo Funes al 500,"Güemes, Córdoba"
290,USD 139.700,Sureño de Manantiales II,"Manantiales, Córdoba"
291,USD 420.000,Buenos Aires 800,"Nueva Córdoba, Córdoba"
292,USD 750.000,Lomas de la Carolina,"Lomas de la Carolina, Córdoba"
293,USD 142.000,Av. Donosa 1000,"Manantiales, Córdoba"
294,USD 165.000,Apolinario Rivas al 1300,"Colinas del Cerro, Córdoba"
295,USD 620.000,Ayres del Sur - Central!,"Ayres del Sur, Córdoba"
296,USD 140.000,Av. Ricardo Rojas 7400,"Argüello, Córdoba"
297,USD 130.000,Italia 2669,"Villa Cabrera, Córdoba"
298,USD 90.000,Manantiales,"Córdoba, Córdoba"
299,USD 125.824,General Paz,"General Paz, Córdoba"
300,USD 120.000,AV VALPARAISO 7500,"Distrito Sur, Córdoba"
301,USD 130.000,Carlos o. Bunge 7800,"Córdoba, Córdoba"
302,USD 65.000,"Departamento en Venta en Nueva Córdoba, con Cochera. 1 Dormitorio con Balcón","Nueva Córdoba, Córdoba"
303,USD 115.000,Obispo Trejo 600,"Nueva Córdoba, Córdoba"
304,USD 62.000,Tránsito Cáceres De Allende 400,"Nueva Córdoba, Córdoba"
305,USD 115.000,Cañada de Gómez,"Prados de Manantiales, Córdoba"
306,USD 250.000,LA Mejor Opcion - B° Tejas II - 3 Dorm - Imperdible!!!,"Tejas II, Córdoba"
307,USD 260.000,Rodriguez del Busto 3410,"Alto Verde, Córdoba"
308,USD 38.000,Lima al 300,"Centro, Córdoba"
309,USD 650.000,Lomas de la Carolina SE Acepta Menor,"Lomas de la Carolina, Córdoba"
310,USD 129.000,Av Colón 5300,"Córdoba, Córdoba"
311,USD 79.000,Bv San Juan 737,"Alberdi, Córdoba"
312,USD 35.000,Calderon De La Barca 700,"Alta Córdoba, Córdoba"
313,USD 140.000,Recta Martinolli 5500,"Villa Belgrano, Córdoba"
314,USD 192.000,Av La Donosa 3820,"Manantiales, Córdoba"
315,USD 10,Pacifico 1,"Valle Escondido , Córdoba"
316,USD 150.000,Hipolito Yrigoyen 43,"Nueva Córdoba, Córdoba"
317,USD 50.000,"Venta, Dpto 1 Dorm, B° Guemes, Torres H, Av Pueyrredón 724 - Piso 16","Güemes, Córdoba"
318,USD 550.000,Av. Ejército Argentino 9520,"Lomas de la Carolina, Córdoba"
319,USD 80.000,"Ed. Santino VI, Bº Gral Paz!! 2 Dorm.","General Paz, Córdoba"
320,USD 117.000,Duplex 3 Dormitorios en Solares de Manantiales!!! Cochera Doble! Galeria y Asador!,"Prados de Manantiales, Córdoba"
321,USD 31.000,segovia 2417,"Crisol, Córdoba"
322,USD 175.000,Cañuelas Chico,"Greenville II, Córdoba"
323,Consultar precio,Rodas Salguero- Obispo Salguero 535,"Nueva Córdoba, Córdoba"
324,USD 151.000,Faro de Rondeau | Rondeau 533,"Nueva Córdoba, Córdoba"
325,USD 18.600,Pasaje Motta 1602,"San Martín, Córdoba"
326,USD 349.000,Ruelle 1425,"Jardín Espinosa, Córdoba"
327,USD 490.000,"Casa a la Venta en Lomas de La Carolina, Toda en Planta Baja, Luminosa y muy Bien Distribuida","Lomas de la Carolina, Córdoba"
328,USD 190.000,"Dúplex Premium en Venta en Cañuelas Chico. 3 Dormitorios, Vestidor, Asador","Cañuelas Country Golf, Córdoba"
329,USD 67.000,NO Apto Credito -urquiza 1470 - 2 Dorm - Cofico,"Cofico, Córdoba"
330,USD 137.000,Independencia 1400,"Nueva Córdoba, Córdoba"
331,USD 68.900,Belgrano al 200,"Centro, Córdoba"
332,USD 97.300,Nicolas Avellaneda 2223,"Alta Córdoba, Córdoba"
333,USD 94.000,Catamarca al 800,"General Paz, Córdoba"
334,USD 235.121,General Paz,"General Paz, Córdoba"
335,USD 510.000,Av. Ejército Argentino al 1000,"Las Delicias, Córdoba"
336,USD 94.900,Jujuy al 1400,"Cofico, Córdoba"
